0,50,male,spring,"['B', 'C', 'D', 'F']","[None, None, None, 4, 5, 7, 6, 8, None, 4, 8, 7, 5, 2, 7, 8, None, None, 4, 7, 6, 4, 5, 10, None, 3]"
1,40,female,winter,"['A', 'B', 'C', 'F']","[None, None, 6, 4, 10, 6, 9, 5, 5, 4, 7, 4, None, None, None, None, 4, None, 6, None, 2, 3, 7, 7, 3, None]"
2,30,male,winter,"['B', 'C', 'D', 'F']","[5, None, None, 6, 9, None, 6, 4, 5, None, None, 5, 5, 6, None, None, None, None, 8, 2, 2, None, 5, 4, 3, 6]"
3,20,male,winter,"['D', 'E', 'F']","[4, None, None, 2, None, 5, 6, 8, 4, 3, None, None, None, None, 3, None, None, 6, None, None, None, 7, None, None, 5, None]"
4,30,female,winter,"['A', 'B', 'C', 'E']","[6, 2, 7, None, None, 4, 7, None, None, None, None, 3, None, None, None, None, None, None, 10, 9, 9, None, 4, None, None, 8]"
5,20,male,winter,"['A', 'B', 'E', 'F']","[None, 5, None, 6, 9, 2, 5, 10, 3, 5, 9, 4, 3, None, 3, None, 5, None, 7, None, 10, 7, 2, None, 6, 4]"
6,20,female,winter,"['C', 'E']","[None, 6, 4, 2, 9, 2, None, None, 6, None, None, None, 3, 7, 4, None, 7, 5, 10, None, None, None, 4, 5, None, None]"
7,30,male,summer,"['B', 'C']","[7, 8, 2, 6, None, None, 4, 5, None, 7, 3, 5, None, None, 6, 3, 7, None, 5, None, 6, None, 6, 5, 4, 5]"
8,20,female,winter,"['A', 'C', 'F']","[None, 6, None, 4, 9, 3, 9, 5, None, 2, 3, None, None, None, 8, 6, None, None, 10, None, None, None, None, 7, 3, 5]"
9,50,male,summer,"['A', 'C']","[8, 8, 4, 5, 5, 7, None, 4, 7, 9, 3, 4, 4, 6, 4, 6, 7, 3, 4, 7, 7, 4, 8, 4, 3, 6]"
10,40,male,summer,"['A', 'B']","[None, 6, 3, None, 3, None, 5, None, None, 5, 5, 3, None, None, None, None, 5, 3, 7, None, 7, 4, None, 3, 6, 5]"
11,50,male,spring,"['C', 'E']","[None, 3, 4, 8, None, None, 7, None, None, None, None, 6, 5, None, 7, 8, None, 4, None, 7, None, None, 7, 8, 5, 5]"
12,40,male,winter,"['C', 'D', 'F']","[5, 6, 9, 7, 9, 2, 6, None, None, None, None, None, 6, 3, None, 8, 8, None, 7, 4, None, 5, 7, None, None, None]"
13,30,female,winter,"['B', 'F']","[7, 3, 7, 2, None, 2, None, 10, None, 5, 10, None, 5, None, 3, None, None, 5, None, 10, 6, 8, 6, None, 5, 4]"
14,40,female,winter,"['A', 'B', 'C']","[7, None, None, 6, None, 5, 6, None, None, 5, 7, 4, None, None, None, 8, 6, None, 6, 4, 3, None, 5, None, None, None]"
15,10,male,winter,"['C', 'E']","[4, None, 4, 4, None, 4, 6, 7, 5, 2, 7, 4, None, 8, 4, 6, 4, 7, 9, None, 10, None, None, 6, None, None]"
16,40,male,spring,"['D', 'F']","[5, None, 3, 5, 5, None, 6, None, 4, 7, None, 3, 4, 6, None, 6, 6, None, 6, 6, 7, None, 7, 7, None, 6]"
17,40,female,summer,"['A', 'B', 'C']","[None, None, 2, 7, 6, None, 2, None, None, None, 3, 5, 6, 8, 4, None, 4, None, None, None, None, 6, 5, None, 3, 5]"
18,50,female,spring,"['A', 'D', 'E', 'F']","[None, None, 3, 4, 3, None, None, None, None, 6, 6, 7, None, None, 6, 8, 8, None, None, 6, 4, 5, 7, 8, 6, 3]"
19,20,male,winter,"['A', 'D', 'E', 'F']","[4, None, None, None, None, None, 4, 8, 3, 3, 8, 3, None, None, 4, None, None, 8, None, 8, None, None, 4, None, None, None]"
20,50,female,summer,"['A', 'B']","[None, None, 6, 5, None, 5, 4, 4, 5, None, 3, 5, 4, None, 5, None, 3, None, 7, 4, 3, None, None, None, 5, 9]"
21,10,male,winter,['E'],"[5, None, None, 2, 9, 5, 6, None, 2, 6, 8, 3, None, None, None, 6, None, None, 9, None, None, 5, 6, 5, 4, 8]"
22,50,male,summer,"['B', 'D']","[None, None, 5, None, 5, 3, 4, 4, None, None, None, 3, 6, 7, None, 7, None, 5, 3, None, 7, None, 6, None, 7, 6]"
23,40,female,summer,"['A', 'B', 'D']","[7, 7, None, None, None, None, 5, None, None, None, 4, None, 6, 7, 6, 7, None, None, None, None, None, 5, None, None, 7, 9]"
24,30,male,winter,"['B', 'E', 'F']","[7, None, 7, 6, 9, 6, None, 7, None, 2, None, 6, 5, None, 5, None, None, 8, 9, 10, 6, 7, 2, 6, 6, 4]"
25,40,male,summer,"['A', 'B', 'C', 'F']","[None, 7, None, 5, 6, None, None, 3, 9, None, None, None, 4, 8, None, 5, None, 2, 5, None, 4, 3, 6, 5, None, None]"
26,40,male,spring,"['B', 'C', 'D', 'E']","[5, 4, 7, 5, 4, 7, 7, 4, None, 4, 7, None, None, 5, 8, 8, None, 7, 5, None, None, 3, 4, 6, 3, 3]"
